City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
78,Rikitea,-23.1203,-134.9692,76.15,60,74,4.81,PF,broken clouds
79,Bethel,41.3712,-73.414,21.49,52,0,1.99,US,clear sky
80,Tasiilaq,65.6145,-37.6368,8.76,35,0,34.74,GL,clear sky
81,Juneau,58.3019,-134.4197,34.21,95,100,8.05,US,light snow
82,Jinchang,38.4953,102.1739,16.39,39,6,4.0,CN,clear sky
83,Cabo San Lucas,22.8909,-109.9124,72.52,77,0,1.01,MX,clear sky
84,San Joaquin,37.9333,-121.3011,48.78,93,0,5.75,US,mist
85,Hobart,-42.8794,147.3294,57.11,88,2,0.0,AU,clear sky
86,Petropavlovsk-Kamchatskiy,53.0452,158.6483,18.46,79,100,7.63,RU,overcast clouds
87,Udachnyy,66.4167,112.4,-28.28,100,33,3.04,RU,scattered clouds
88,Kaset Sombun,16.2805,101.9542,82.44,36,5,4.16,TH,clear sky
89,Balkanabat,39.5108,54.3671,46.6,48,58,8.12,TM,broken clouds
90,Hamilton,39.1834,-84.5333,34.21,59,0,1.99,US,clear sky
91,Nizwa,22.9333,57.5333,74.03,29,0,2.26,OM,clear sky
92,Geraldton,-28.7667,114.6,73.81,83,75,19.57,AU,broken clouds
93,Hilo,19.7297,-155.09,66.25,79,0,6.91,US,clear sky
94,Butaritari,3.0707,172.7902,81.72,78,70,21.18,KI,light rain
95,Saskylakh,71.9167,114.0833,-16.74,100,100,2.75,RU,overcast clouds
96,Kruisfontein,-34.0033,24.7314,78.89,65,73,20.33,ZA,broken clouds
97,Dikson,73.5069,80.5464,1.72,92,100,21.23,RU,overcast clouds
98,Zhezkazgan,47.8043,67.7144,18.21,95,100,7.92,KZ,snow
99,Vaini,-21.2,-175.2,80.49,78,100,12.26,TO,overcast clouds
100,Half Moon Bay,37.4636,-122.4286,50.99,90,0,0.0,US,clear sky
101,Klaksvik,62.2266,-6.589,36.52,97,100,17.25,FO,overcast clouds
102,Mabaruma,8.2,-59.7833,86.92,47,22,6.71,GY,few clouds
103,Saint George,37.1041,-113.5841,44.35,40,0,0.0,US,clear sky
104,Umm Lajj,25.0213,37.2685,67.06,57,90,14.65,SA,overcast clouds
105,Los Llanos De Aridane,28.6585,-17.9182,65.95,79,20,3.0,ES,few clouds
106,Coquimbo,-29.9533,-71.3436,67.73,68,0,12.66,CL,clear sky
107,Beloha,-25.1667,45.05,76.44,62,82,16.8,MG,broken clouds
108,Tiksi,71.6872,128.8694,-16.11,100,76,4.27,RU,broken clouds
109,Fomboni,-12.28,43.7425,82.76,66,45,4.23,KM,scattered clouds
110,Palauig,15.435,119.9045,77.38,83,4,9.93,PH,clear sky
111,Bredasdorp,-34.5322,20.0403,80.28,64,8,17.11,ZA,clear sky
112,Chokurdakh,70.6333,147.9167,-29.33,89,38,0.98,RU,scattered clouds
113,Jalu,29.0331,21.5482,57.49,46,82,19.98,LY,broken clouds
114,Honningsvag,70.9821,25.9704,29.95,69,40,18.41,NO,scattered clouds
115,Ketchikan,55.3422,-131.6461,35.58,93,75,4.61,US,broken clouds
116,Kirovskiy,45.0917,133.5136,-2.63,100,100,1.61,RU,overcast clouds
117,Mount Isa,-20.7333,139.5,74.97,100,100,5.75,AU,overcast clouds
118,Narsaq,60.9167,-46.05,8.82,63,100,8.88,GL,overcast clouds
119,Leningradskiy,69.3833,178.4167,-8.14,93,100,1.61,RU,overcast clouds
120,Prince Rupert,54.3161,-130.3201,33.89,86,100,2.3,CA,overcast clouds
121,Mar Del Plata,-38.0023,-57.5575,86.02,56,0,27.0,AR,clear sky
122,Thompson,55.7435,-97.8558,-0.06,95,100,4.76,CA,overcast clouds
123,Skjervoy,70.0311,20.9714,26.78,73,59,8.03,NO,broken clouds
124,Tutoia,-2.7619,-42.2744,89.58,66,100,10.56,BR,light rain
125,Sondrio,46.169,9.8692,54.64,64,0,11.63,IT,clear sky
126,Tuktoyaktuk,69.4541,-133.0374,-4.18,96,100,17.65,CA,overcast clouds
127,Kurtamysh,54.9103,64.4319,11.82,94,100,5.3,RU,overcast clouds
128,Pevek,69.7008,170.3133,-11.88,95,100,1.14,RU,overcast clouds
129,Vostok,46.4856,135.8833,-20.61,99,72,3.83,RU,broken clouds
130,Esperance,-33.8667,121.9,72.57,56,64,9.66,AU,broken clouds
131,Souillac,-20.5167,57.5167,81.36,77,49,16.69,MU,scattered clouds
132,Nikki,9.9401,3.2108,90.25,7,100,10.58,BJ,overcast clouds
133,Cape Town,-33.9258,18.4232,93.11,51,19,5.01,ZA,few clouds
134,Jacareacanga,-6.2222,-57.7528,72.79,98,100,1.68,BR,overcast clouds
135,Buala,-8.145,159.5921,79.88,84,95,5.19,SB,light rain
136,Waipawa,-41.4122,175.5153,56.03,85,97,2.75,NZ,overcast clouds
137,Quatre Cocos,-20.2078,57.7625,81.09,78,46,18.3,MU,scattered clouds
138,Saint Anthony,45.0205,-93.218,17.65,70,0,11.5,US,clear sky
139,Dindori,22.95,81.0833,58.03,26,0,1.34,IN,clear sky
140,Fethiye,36.6217,29.1164,55.27,81,86,4.81,TR,overcast clouds
