City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
261,Cidreira,BR,77.04,clear sky,-30.1811,-50.2056,Hotel Castelo
263,Antalaha,MG,78.64,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
264,Santa Maria,BR,85.62,scattered clouds,-29.6842,-53.8069,Hotel Morotin
265,Isangel,VU,78.04,overcast clouds,-19.55,169.2667,Tanna Lodge
267,Boueni,YT,82.38,few clouds,-12.9025,45.0761,The feet in water
273,Kirakira,SB,80.29,light rain,-10.4544,161.9205,SanBiz Lodge
277,Nechi,CO,84.29,broken clouds,8.0942,-74.7757,Ivan Villadiego guerra
282,Kununurra,AU,80.58,scattered clouds,-15.7667,128.7333,Hotel Kununurra
283,Noumea,NC,76.98,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
288,Kavaratti,IN,81.66,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
293,Kloulklubed,PW,75.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
297,Kudahuvadhoo,MV,82.42,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
305,Mocuba,MZ,75.18,light rain,-16.8392,36.9856,Phama Lodge
309,Namatanai,PG,78.24,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
310,Hambantota,LK,80.94,scattered clouds,6.1241,81.1185,Bungalow 63
314,Salinopolis,BR,79.48,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
315,Port-Gentil,GA,81.93,overcast clouds,-0.7193,8.7815,Fengshui Residence
318,Broken Hill,AU,81.27,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
319,Paita,PE,82.96,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
322,Auki,SB,77.95,overcast clouds,-8.7676,160.7034,Auki Motel
327,Sao Felix Do Xingu,BR,75.99,moderate rain,-6.6447,-51.995,Rio Xingu Camping
329,Pedernales,DO,81.1,clear sky,18.0384,-71.744,Hotel Costa Marina
341,Ambulu,ID,77.31,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
343,Hobyo,SO,77.02,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
347,Lambarene,GA,84.74,light rain,-0.7001,10.2406,Le Refuge
356,Santa Rosa,PH,79.09,clear sky,14.3122,121.1114,Erlyn’s Sta Rosa City Home
362,Sangre Grande,TT,85.93,broken clouds,10.5835,-61.1177,Lotus drive
370,Norsup,VU,78.98,moderate rain,-16.0667,167.3833,Nabelchel Bungalows
373,Puerto Narino,CO,87.75,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
376,Saint Thomas Mount,IN,79.97,mist,12.9964,80.2031,Le Royal Méridien Chennai
377,Riberalta,BO,79.0,overcast clouds,-10.9833,-66.1,Hotel Colonial
379,Port Hedland,AU,84.25,scattered clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
387,Sao Desiderio,BR,80.47,overcast clouds,-12.3633,-44.9733,Hotel azaf
390,Poum,NC,79.9,overcast clouds,-20.2333,164.0167,Gîte kajeon
392,General Roca,AR,77.4,broken clouds,-39.0333,-67.5833,Hotel y Casino del Río General Roca
393,Sechura,PE,76.8,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
394,Kuching,MY,77.22,light rain,1.55,110.3333,The Ranee Boutique Suites
396,Cairns,AU,78.06,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
399,Yadgir,IN,75.56,clear sky,16.7667,77.1333,"SLV Hotel,Yadgir"
