City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
79,Mataura,-46.1927,168.8643,63.48,82,47,1.19,NZ,scattered clouds
80,Laguna,38.421,-121.4238,63.64,62,0,1.99,US,clear sky
81,Moundsville,39.9203,-80.7431,33.15,51,100,1.99,US,snow
82,Avarua,-21.2078,-159.775,75.25,94,75,5.75,CK,broken clouds
83,A Coruna,43.3713,-8.396,54.05,73,0,1.99,ES,clear sky
84,Sabang,5.8933,95.3214,81.5,74,81,6.89,ID,broken clouds
85,Shimsk,58.212,30.7127,27.14,96,100,6.87,RU,light snow
86,Shieli,44.1667,66.75,26.26,85,33,7.31,KZ,scattered clouds
87,Coahuayana,18.7333,-103.6833,90.88,28,0,7.2,MX,clear sky
88,Constantine,36.365,6.6147,44.01,70,0,2.3,DZ,clear sky
89,Nioro,13.35,-15.75,87.67,14,76,6.06,GM,broken clouds
90,Peniche,39.3558,-9.3811,58.08,65,21,6.31,PT,few clouds
91,Port Moresby,-9.4431,147.1797,72.82,94,40,11.5,PG,light rain
92,Bethel,41.3712,-73.414,26.01,46,0,6.91,US,clear sky
93,Anda,46.4,125.3167,-12.91,100,40,2.8,CN,scattered clouds
94,Camana,-16.6228,-72.7111,73.51,68,18,8.43,PE,few clouds
95,Bathsheba,13.2167,-59.5167,81.21,69,40,20.71,BB,scattered clouds
96,Yenagoa,4.9247,6.2642,75.76,60,65,4.38,NG,broken clouds
97,Ocos,14.5094,-92.1933,93.7,62,6,10.36,GT,clear sky
98,Beyneu,45.3167,55.2,33.03,80,100,15.99,KZ,overcast clouds
99,Broome,42.2506,-75.833,23.02,60,75,3.0,US,broken clouds
100,Kapaa,22.0752,-159.319,77.47,66,20,1.99,US,few clouds
101,Surt,31.2089,16.5887,56.23,60,7,13.87,LY,clear sky
102,Katsuura,35.1333,140.3,39.31,53,100,11.01,JP,overcast clouds
103,Port Elizabeth,-33.918,25.5701,74.1,88,20,14.97,ZA,few clouds
104,Butaritari,3.0707,172.7902,81.81,76,18,21.03,KI,light rain
105,Tura,25.5198,90.2201,52.2,59,3,3.36,IN,clear sky
106,Kikwit,-5.041,18.8162,76.35,71,100,0.89,CD,overcast clouds
107,Lagoa,39.05,-27.9833,58.14,70,38,25.77,PT,scattered clouds
108,Tampere,61.4991,23.7871,23.11,88,40,8.05,FI,scattered clouds
109,Cape Town,-33.9258,18.4232,68.88,82,0,5.01,ZA,clear sky
110,Iqaluit,63.7506,-68.5145,-13.27,77,40,4.61,CA,scattered clouds
111,Castro,-24.7911,-50.0119,64.9,96,97,6.51,BR,overcast clouds
112,Thompson,55.7435,-97.8558,6.96,72,20,2.3,CA,few clouds
113,Kindu,-2.95,25.95,72.72,80,100,3.13,CD,overcast clouds
114,Nantucket,41.2835,-70.0995,24.91,54,0,14.97,US,clear sky
115,Werda,-25.2667,23.2833,71.73,69,85,12.64,BW,overcast clouds
116,Road Town,18.4167,-64.6167,80.69,69,20,8.05,VG,few clouds
117,Mehamn,71.0357,27.8492,32.18,69,40,21.85,NO,scattered clouds
118,Wasilla,61.5814,-149.4394,25.39,81,0,3.44,US,clear sky
119,Leningradskiy,69.3833,178.4167,-12.53,94,98,2.95,RU,overcast clouds
120,La Ronge,55.1001,-105.2842,12.42,79,100,9.22,CA,overcast clouds
121,Los Llanos De Aridane,28.6585,-17.9182,60.55,80,7,7.0,ES,clear sky
122,Faya,18.3851,42.4509,57.31,86,11,4.43,SA,few clouds
